,word,label,sentence_id
98,market,O,7
99,is,O,7
100,expected,O,7
101,to,O,7
102,grow,O,7
103,to,O,7
104,5,O,7
105,million,O,8
106,cataract,B-NAME_OF_DISEASE,8
107,surgeries,I-TREATMENT,8
108,by,O,8
109,2025,O,8
110,With,O,9
111,the,O,9
112,aging,O,9
113,population,O,9
114,the,O,9
115,number,O,9
116,of,O,9
117,people,O,9
118,in,O,9
119,the,O,9
120,U.S,O,9
121,with,O,10
122,cataracts,B-NAME_OF_DISEASE,10
123,is,O,10
124,expected,O,10
125,to,O,10
126,double,O,10
127,by,O,10
128,2050,O,10
129,Vivity,B-TREATMENT,11
130,is,O,11
131,a,O,11
132,first-of-its-kind,O,11
133,non-diffractive,B-TREATMENT,11
134,extended,I-TREATMENT,11
135,depth,I-TREATMENT,11
136,of,I-TREATMENT,11
137,focus,I-TREATMENT,11
138,IOL,B-TREATMENT,11
139,with,O,11
140,Alcon,B-ORGANIZATION,11
141,s,O,11
142,proprietary,O,11
143,non-diffractive,O,11
144,X-WAVE™,O,11
145,technology,O,11
146,which,O,11
147,stretches,O,11
148,and,O,11
149,shifts,O,11
150,light,O,11
151,without,O,11
152,splitting,O,11
153,it,O,11
154,Vivity,B-TREATMENT,12
155,delivers,O,12
156,monofocal-quality,O,12
157,distance,O,12
158,far,O,12
159,with,O,12
160,excellent,O,12
161,intermediate,O,12
162,at,O,12
163,arm,O,12
164,s,O,12
165,length,O,12
166,and,O,12
167,functional,O,12
168,near,O,12
169,vision,O,12
170,up,O,12
171,close,O,12
172,,O,12
173,The,O,13
174,lens,O,13
175,expands,O,13
176,Alcon,B-ORGANIZATION,13
177,s,O,13
178,growing,O,13
179,portfolio,O,13
180,of,O,13
181,presbyopia-mitigating,B-TREATMENT,13
182,IOLs,I-TREATMENT,13
183,to,O,13
184,meet,O,13
185,the,O,13
186,needs,O,13
187,of,O,13
188,cataract,B-NAME_OF_DISEASE,13
189,patients,O,13
190,who,O,13
191,are,O,13
192,interested,O,13
193,in,O,13
194,restoring,O,13
195,their,O,13
196,visual,O,13
197,performance,O,13
198,and,O,13
199,improving,O,13
200,their,O,13
201,lifestyle,O,13
202,With,O,14
203,the,O,14
204,introduction,O,14
205,of,O,14
206,Vivity,B-TREATMENT,14
207,Alcon,B-ORGANIZATION,14
208,continues,O,14
209,to,O,14
210,demonstrate,O,14
211,our,O,14
212,ongoing,O,14
213,commitment,O,14
214,to,O,14
215,growing,O,14
216,our,O,14
217,IOL,B-TREATMENT,14
218,portfolio,O,14
219,and,O,14
220,delivering,O,14
221,differentiated,O,14
222,innovations,O,14
223,that,O,14
224,meet,O,14
225,surgeon,O,14
226,and,O,14
227,patient,O,14
228,needs,O,14
229,said,O,14
230,Sergio,B-PERSON,14
231,Duplan,I-PERSON,14
232,President,O,14
233,North,B-GPE,14
234,America,I-GPE,14
235,at,O,14
236,Alcon,B-ORGANIZATION,14
237,We,O,15
238,now,O,15
239,offer,O,15
240,two,O,15
241,next-generation,O,15
242,presbyopia-mitigating,B-TREATMENT,15
243,IOL,I-TREATMENT,15
244,options,O,15
245,with,O,15
246,the,B-TREATMENT,15
247,PanOptix,I-TREATMENT,15
248,Trifocal,I-TREATMENT,15
249,for,O,15
250,patients,O,15
251,who,O,15
252,want,O,15
253,to,O,15
254,be,O,15
255,more,O,15
256,spectacle,O,15
257,independent,O,15
258,at,O,15
259,all,O,15
260,distances,O,15
261,and,O,15
262,Vivity,B-TREATMENT,15
263,for,O,15
264,patients,O,15
265,who,O,15
266,seek,O,15
267,to,O,15
268,improve,O,15
269,their,O,15
270,intermediate,O,15
271,and,O,15
272,near,O,15
273,vision,O,15
274,with,O,15
275,a,O,15
276,monofocal-like,O,15
277,visual,O,15
278,disturbance,O,15
279,profile,O,15
280,Also,O,16
281,available,O,16
282,in,O,16
283,toric,O,16
284,designs,O,16
285,Vivity,B-TREATMENT,16
286,is,O,16
287,built,O,16
288,on,O,16
289,Alcon,B-ORGANIZATION,16
290,s,O,16
291,trusted,O,16
292,and,O,16
293,proven,O,16
294,AcrySof,B-TREATMENT,16
295,IQ,I-TREATMENT,16
296,IOL,I-TREATMENT,16
297,platform,O,16
298,that,O,16
299,has,O,16
300,been,O,16
301,implanted,O,16
302,in,O,16
303,more,O,16
304,than,O,16
305,125,O,16
306,million,O,16
307,eyes,O,16
308,globally,O,16
309,According,O,17
310,to,O,17
311,results,O,17
312,from,O,17
313,a,O,17
314,U.S,O,17
315,clinical,O,18
316,trial,O,18
317,patients,O,18
318,who,O,18
319,had,O,18
320,the,B-TREATMENT,18
321,Vivity,I-TREATMENT,18
322,lens,I-TREATMENT,18
323,implanted,O,18
324,experienced,O,18
325,renewed,O,18
326,vision,O,18
327,and,O,18
328,lifestyle,O,18
329,benefits,O,18
330,including,O,18
331,94%,O,18
332,and,O,18
333,92%,O,18
334,of,O,18
335,Vivity,B-TREATMENT,18
336,patients,O,18
337,reported,O,18
338,very,O,18
339,good,O,18
340,or,O,18
341,good,O,18
342,vision,O,18
343,at,O,18
344,distance,O,18
345,and,O,18
346,arm,O,18
347,s,O,18
348,length,O,18
349,respectively,O,18
350,without,O,18
351,glasses,O,18
352,in,O,18
353,bright,O,18
354,light,O,18
355,with,O,18
356,vision,O,18
357,of,O,18
358,20,O,18
359,20,O,18
360,at,O,18
361,distance,O,18
362,and,O,18
363,greater,O,18
364,than,O,18
365,20,O,18
366,25,O,18
367,at,O,18
368,intermediate,O,18
369,Comparable,O,19
370,visual,O,19
371,disturbance,O,19
372,profile,O,19
373,to,O,19
374,a,B-TREATMENT,19
375,monofocal,I-TREATMENT,19
376,IOL,B-TREATMENT,19
377,The,B-TREATMENT,19
378,Vivity,B-TREATMENT,19
379,lens,I-TREATMENT,19
380,is,O,19
381,a,O,19
382,disruptive,O,19
383,technology,O,19
384,that,O,19
385,fills,O,19
386,a,O,19
387,gap,O,19
388,for,O,19
389,eye,O,19
390,surgeons,O,19
391,as,O,19
392,a,O,19
393,presbyopia-mitigating,B-TREATMENT,19
394,IOL,B-TREATMENT,19
395,option,O,19
396,for,O,19
397,those,O,19
398,patients,O,19
399,who,O,19
400,are,O,19
401,not,O,19
402,candidates,O,19
403,for,O,19
404,a,O,19
405,diffractive,O,19
406,IOL,B-TREATMENT,19
407,platform,O,19
408,but,O,19
409,want,O,19
410,some,O,19
411,spectacle,O,19
412,independence,O,19
413,said,O,19
414,Dr,O,19
415,Cathleen,O,20
416,McCabe,O,20
417,Chief,O,20
418,Medical,O,20
419,Officer,O,20
420,Eye,B-ORGANIZATION,20
421,Health,I-ORGANIZATION,20
422,America,I-ORGANIZATION,20
423,and,O,20
424,Medical,O,20
425,Director,O,20
426,The,B-ORGANIZATION,20
427,Eye,I-ORGANIZATION,20
428,Associates,I-ORGANIZATION,20
429,This,O,21
430,lens,O,21
431,has,O,21
432,a,O,21
433,monofocal-like,O,21
434,visual,O,21
435,disturbance,O,21
436,profile,O,21
437,a,O,21
438,low,O,21
439,incidence,O,21
440,of,O,21
441,severe,O,21
442,or,O,21
443,very,O,21
444,bothersome,O,21
445,glare,O,21
446,and,O,21
447,halos,O,21
448,and,O,21
449,provides,O,21
450,a,O,21
451,continuous,O,21
452,extended,O,21
453,range,O,21
454,of,O,21
455,vision,O,21
456,which,O,21
457,can,O,21
458,meet,O,21
459,the,O,21
460,needs,O,21
461,of,O,21
462,many,O,21
463,cataract,B-NAME_OF_DISEASE,21
464,patients,O,21
465,Vivity,B-TREATMENT,22
466,received,O,22
467,FDA,B-ORGANIZATION,22
468,approval,O,22
469,in,O,22
470,February,O,22
471,2020,O,22
472,and,O,22
473,it,O,22
474,was,O,22
475,made,O,22
476,available,O,22
477,to,O,22
478,select,O,22
479,U.S,O,22
480,ophthalmologists,O,23
481,in,O,23
482,September,O,23
483,2020,O,23
484,during,O,23
485,a,O,23
486,pilot,O,23
487,phase,O,23
488,ahead,O,23
489,of,O,23
490,the,O,23
491,current,O,23
492,national,O,23
493,launch,O,23
494,Vivity,B-TREATMENT,24
495,is,O,24
496,already,O,24
497,available,O,24
498,in,O,24
499,some,O,24
500,European,O,24
501,markets,O,24
502,Australia,B-GPE,24
503,New,B-GPE,24
504,Zealand,I-GPE,24
505,and,O,24
506,Canada,B-GPE,24
507,and,O,24
508,has,O,24
509,been,O,24
510,introduced,O,24
511,to,O,24
512,select,O,24
513,ophthalmologists,O,24
514,in,O,24
515,Latin,B-GPE,24
516,America,I-GPE,24
517,For,O,25
518,more,O,25
519,information,O,25
520,regarding,O,25
521,Vivity,B-TREATMENT,25
522,in,O,25
523,the,O,25
524,U.S,O,25
525,visit,O,26
526,vivityview.com,O,26
527,About,O,27
528,Cataracts,B-NAME_OF_DISEASE,27
529,A,B-NAME_OF_DISEASE,27
530,cataract,I-NAME_OF_DISEASE,27
531,is,O,27
532,a,B-SIGN_AND_SYMPTOM,27
533,cloudy,I-SIGN_AND_SYMPTOM,27
534,area,I-SIGN_AND_SYMPTOM,27
535,in,I-SIGN_AND_SYMPTOM,27
536,the,I-SIGN_AND_SYMPTOM,27
537,natural,I-SIGN_AND_SYMPTOM,27
538,lens,I-SIGN_AND_SYMPTOM,27
539,of,I-SIGN_AND_SYMPTOM,27
540,the,I-SIGN_AND_SYMPTOM,27
541,eye,I-SIGN_AND_SYMPTOM,27
542,that,O,27
543,affects,O,27
544,vision,O,27
545,As,O,28
546,a,B-NAME_OF_DISEASE,28
547,cataract,I-NAME_OF_DISEASE,28
548,develops,O,28
549,the,B-SIGN_AND_SYMPTOM,28
550,eye,I-SIGN_AND_SYMPTOM,28
551,s,I-SIGN_AND_SYMPTOM,28
552,lens,I-SIGN_AND_SYMPTOM,28
553,gradually,I-SIGN_AND_SYMPTOM,28
554,becomes,I-SIGN_AND_SYMPTOM,28
555,hard,I-SIGN_AND_SYMPTOM,28
556,and,I-SIGN_AND_SYMPTOM,28
557,cloudy,I-SIGN_AND_SYMPTOM,28
558,allowing,I-SIGN_AND_SYMPTOM,28
559,less,I-SIGN_AND_SYMPTOM,28
560,light,I-SIGN_AND_SYMPTOM,28
561,to,I-SIGN_AND_SYMPTOM,28
562,pass,I-SIGN_AND_SYMPTOM,28
563,through,I-SIGN_AND_SYMPTOM,28
564,which,I-SIGN_AND_SYMPTOM,28
565,makes,I-SIGN_AND_SYMPTOM,28
566,it,I-SIGN_AND_SYMPTOM,28
567,more,I-SIGN_AND_SYMPTOM,28
568,difficult,I-SIGN_AND_SYMPTOM,28
569,to,I-SIGN_AND_SYMPTOM,28
570,see,I-SIGN_AND_SYMPTOM,28
571,The,O,29
572,vast,O,29
573,majority,O,29
574,of,O,29
575,cataracts,B-NAME_OF_DISEASE,29
576,result,O,29
577,from,O,29
578,normal,B-CAUSE_OF_DISEASE,29
579,aging,I-CAUSE_OF_DISEASE,29
580,but,O,29
581,radiation,B-CAUSE_OF_DISEASE,29
582,exposure,I-CAUSE_OF_DISEASE,29
583,taking,B-CAUSE_OF_DISEASE,29
584,steroids,I-CAUSE_OF_DISEASE,29
585,diabetes,B-CAUSE_OF_DISEASE,29
586,and,O,29
587,eye,B-CAUSE_OF_DISEASE,29
588,trauma,I-CAUSE_OF_DISEASE,29
589,can,O,29
590,accelerate,O,29
591,their,O,29
592,development,O,29
593,Cataracts,B-NAME_OF_DISEASE,30
594,are,O,30
595,the,O,30
596,most,O,30
597,common,O,30
598,age-related,O,30
599,eye,O,30
600,condition,O,30
601,and,O,30
602,the,O,30
603,leading,O,30
604,cause,O,30
605,of,O,30
606,preventable,O,30
607,blindness,B-NAME_OF_DISEASE,30
608,Twenty,O,31
609,million,O,31
610,people,O,31
611,in,O,31
612,the,O,31
613,U.S,O,31
614,age,O,32
615,40,O,32
616,and,O,32
617,older,O,32
618,have,O,32
619,cataracts,B-NAME_OF_DISEASE,32
620,Cataracts,B-NAME_OF_DISEASE,33
621,are,O,33
622,treated,O,33
623,by,O,33
624,removing,B-TREATMENT,33
625,the,I-TREATMENT,33
626,eye,I-TREATMENT,33
627,s,I-TREATMENT,33
628,cloudy,I-TREATMENT,33
629,natural,I-TREATMENT,33
630,lens,I-TREATMENT,33
631,and,I-TREATMENT,33
632,surgically,I-TREATMENT,33
633,replacing,I-TREATMENT,33
634,it,I-TREATMENT,33
635,with,I-TREATMENT,33
636,an,I-TREATMENT,33
637,intraocular,I-TREATMENT,33
638,lens,I-TREATMENT,33
639,or,I-TREATMENT,33
640,IOL,I-TREATMENT,33
641,More,O,34
642,than,O,34
643,98,O,34
644,percent,O,34
645,of,O,34
646,cataract,B-TREATMENT,34
647,surgeries,I-TREATMENT,34
648,are,O,34
649,considered,O,34
650,successful,O,34
651,and,O,34
652,patients,O,34
653,typically,O,34
654,can,O,34
655,return,O,34
656,to,O,34
657,their,O,34
658,normal,O,34
659,routines,O,34
660,within,B-TIME_DURATION,34
661,24,I-TIME_DURATION,34
662,hours,I-TIME_DURATION,34
663,About,O,35
664,Presbyopia,B-NAME_OF_DISEASE,35
665,Presbyopia,B-NAME_OF_DISEASE,35
666,is,O,35
667,a,O,35
668,common,O,35
669,age-related,O,35
670,vision,O,35
671,condition,O,35
672,in,O,35
673,which,O,35
674,people,O,35
675,have,O,35
676,difficulty,B-SIGN_AND_SYMPTOM,35
677,focusing,I-SIGN_AND_SYMPTOM,35
678,on,I-SIGN_AND_SYMPTOM,35
679,things,I-SIGN_AND_SYMPTOM,35
680,up,I-SIGN_AND_SYMPTOM,35
681,close,I-SIGN_AND_SYMPTOM,35
682,It,O,36
683,involves,O,36
684,the,B-SIGN_AND_SYMPTOM,36
685,gradual,I-SIGN_AND_SYMPTOM,36
686,loss,I-SIGN_AND_SYMPTOM,36
687,of,I-SIGN_AND_SYMPTOM,36
688,the,I-SIGN_AND_SYMPTOM,36
689,eye,I-SIGN_AND_SYMPTOM,36
690,s,I-SIGN_AND_SYMPTOM,36
691,ability,I-SIGN_AND_SYMPTOM,36
692,to,I-SIGN_AND_SYMPTOM,36
693,focus,I-SIGN_AND_SYMPTOM,36
694,on,I-SIGN_AND_SYMPTOM,36
695,close,I-SIGN_AND_SYMPTOM,36
696,objects,I-SIGN_AND_SYMPTOM,36
697,such,I-SIGN_AND_SYMPTOM,36
698,as,I-SIGN_AND_SYMPTOM,36
699,smart,I-SIGN_AND_SYMPTOM,36
700,phones,I-SIGN_AND_SYMPTOM,36
701,computers,I-SIGN_AND_SYMPTOM,36
702,books,I-SIGN_AND_SYMPTOM,36
703,and,I-SIGN_AND_SYMPTOM,36
704,menus,I-SIGN_AND_SYMPTOM,36
705,Almost,O,37
706,everyone,O,37
707,will,O,37
708,experience,O,37
709,presbyopia,B-NAME_OF_DISEASE,37
710,to,O,37
711,some,O,37
712,degree,O,37
713,as,O,37
714,they,O,37
715,age,O,37
716,with,O,37
717,symptoms,O,37
718,often,O,37
719,first,O,37
720,appearing,O,37
721,as,O,37
722,an,O,37
723,individual,O,37
724,enters,O,37
725,their,O,37
726,40s,O,37
727,and,O,37
728,continues,O,37
729,to,O,37
730,worsen,O,37
731,into,O,37
732,their,O,37
733,60s,O,37
734,In,O,38
735,the,O,38
736,U.S,O,38
737,an,O,39
738,estimated,O,39
739,112,O,39
740,million,O,39
741,people,O,39
742,experience,O,39
743,vision,O,39
744,issues,O,39
745,due,O,39
746,to,O,39
747,presbyopia,B-NAME_OF_DISEASE,39
748,-,O,39
749,a,O,39
750,number,O,39
751,that,O,39
752,s,O,39
753,expected,O,39
754,to,O,39
755,continue,O,39
756,increasing,O,39
757,The,O,40
758,condition,O,40
759,is,O,40
760,not,O,40
761,a,O,40
762,disease,O,40
763,so,O,40
764,it,O,40
765,cannot,O,40
766,be,O,40
767,cured,O,40
768,however,O,40
769,there,O,40
770,are,O,40
771,safe,O,40
772,and,O,40
773,effective,O,40
774,ways,O,40
775,to,O,40
776,correct,O,40
777,presbyopia,B-NAME_OF_DISEASE,40
778,including,O,40
779,eye,B-TREATMENT,40
780,glasses,I-TREATMENT,40
781,contact,B-TREATMENT,40
782,lenses,I-TREATMENT,40
783,or,O,40
784,refractive,B-TREATMENT,40
785,surgery,I-TREATMENT,40
786,About,O,41
787,the,B-TREATMENT,41
788,AcrySof®,I-TREATMENT,41
789,IQ,I-TREATMENT,41
790,Vivity™,I-TREATMENT,41
791,IOL,B-TREATMENT,41
792,The,B-TREATMENT,41
793,non-diffractive,I-TREATMENT,41
794,AcrySof®,I-TREATMENT,41
795,IQ,I-TREATMENT,41
796,VivityTM,I-TREATMENT,41
797,Extended,I-TREATMENT,41
798,Vision,I-TREATMENT,41
799,Posterior,I-TREATMENT,41
800,Chamber,I-TREATMENT,41
801,Intraocular,I-TREATMENT,41
802,Lens,I-TREATMENT,41
803,Model,I-TREATMENT,41
804,DFT015,I-TREATMENT,41
805,referred,O,41
806,to,O,41
807,as,O,41
808,AcrySof®,B-TREATMENT,41
809,IQ,I-TREATMENT,41
810,VivityTM,I-TREATMENT,41
811,IOL,B-TREATMENT,41
812,is,O,41
813,a,O,41
814,UV-absorbing,O,41
815,and,O,41
816,blue,O,41
817,light,O,41
818,filtering,O,41
819,foldable,O,41
820,intraocular,B-TREATMENT,41
821,lens,I-TREATMENT,41
822,IOL,B-TREATMENT,41
823,,O,41
824,This,O,42
825,IOL,B-TREATMENT,42
826,compared,O,42
827,to,O,42
828,a,B-TREATMENT,42
829,monofocal,I-TREATMENT,42
830,IOL,I-TREATMENT,42
831,provides,O,42
832,an,O,42
833,extended,O,42
834,range,O,42
835,of,O,42
836,vision,O,42
837,from,O,42
838,distance,O,42
839,to,O,42
840,near,O,42
841,without,O,42
842,increasing,O,42
843,the,O,42
844,incidence,O,42
845,of,O,42
846,visual,O,42
847,disturbances,O,42
848,Potential,O,43
849,side,O,43
850,effects,O,43
851,As,O,43
852,with,O,43
853,any,O,43
854,surgery,O,43
855,there,O,43
856,is,O,43
857,an,O,43
858,implicit,O,43
859,risk,O,43
860,whether,O,43
861,or,O,43
862,not,O,43
863,the,B-TREATMENT,43
864,IOL,I-TREATMENT,43
865,is,O,43
866,implanted,O,43
867,The,O,44
868,complications,O,44
869,of,O,44
870,the,B-TREATMENT,44
871,IOL,I-TREATMENT,44
872,implantation,I-TREATMENT,44
873,surgery,I-TREATMENT,44
874,ranges,O,44
875,from,O,44
876,minor,O,44
877,side,O,44
878,effects,O,44
879,usually,O,44
880,temporary,O,44
881,to,O,44
882,serious,O,44
883,complications,O,44
884,Patients,O,45
885,with,O,45
886,previous,O,45
887,illnesses,O,45
888,or,O,45
889,disorders,O,45
890,such,O,45
891,as,O,45
892,chronic,B-NAME_OF_DISEASE,45
893,infections,I-NAME_OF_DISEASE,45
894,of,I-NAME_OF_DISEASE,45
895,the,I-NAME_OF_DISEASE,45
896,eye,I-NAME_OF_DISEASE,45
897,or,I-NAME_OF_DISEASE,45
898,eyelids,I-NAME_OF_DISEASE,45
899,or,O,45
900,diabetes,B-NAME_OF_DISEASE,45
901,may,O,45
902,present,O,45
903,a,O,45
904,higher,O,45
905,risk,O,45
906,of,O,45
907,complications,O,45
908,Temporary,O,46
909,surgical,O,46
910,complications,O,46
911,include,O,46
912,but,O,46
913,are,O,46
914,not,O,46
915,limited,O,46
916,to,O,46
917,reactions,O,46
918,to,O,46
919,medications,O,46
920,such,O,46
921,as,O,46
922,irritation,B-SIGN_AND_SYMPTOM,46
923,or,I-SIGN_AND_SYMPTOM,46
924,mild,I-SIGN_AND_SYMPTOM,46
925,allergic,I-SIGN_AND_SYMPTOM,46
926,response,I-SIGN_AND_SYMPTOM,46
927,bleeding,I-SIGN_AND_SYMPTOM,46
928,redness,I-SIGN_AND_SYMPTOM,46
929,itching,I-SIGN_AND_SYMPTOM,46
930,of,I-SIGN_AND_SYMPTOM,46
931,the,I-SIGN_AND_SYMPTOM,46
932,eye,I-SIGN_AND_SYMPTOM,46
933,sensitivity,I-SIGN_AND_SYMPTOM,46
934,to,I-SIGN_AND_SYMPTOM,46
935,light,I-SIGN_AND_SYMPTOM,46
936,swelling,I-SIGN_AND_SYMPTOM,46
937,corneal,I-SIGN_AND_SYMPTOM,46
938,edema,I-SIGN_AND_SYMPTOM,46
939,swelling,I-SIGN_AND_SYMPTOM,46
940,of,I-SIGN_AND_SYMPTOM,46
941,the,I-SIGN_AND_SYMPTOM,46
942,cornea,I-SIGN_AND_SYMPTOM,46
943,problems,I-SIGN_AND_SYMPTOM,46
944,with,I-SIGN_AND_SYMPTOM,46
945,the,I-SIGN_AND_SYMPTOM,46
946,iris,I-SIGN_AND_SYMPTOM,46
947,cell,I-SIGN_AND_SYMPTOM,46
948,growth,I-SIGN_AND_SYMPTOM,46
949,in,I-SIGN_AND_SYMPTOM,46
950,the,I-SIGN_AND_SYMPTOM,46
951,IOL,I-SIGN_AND_SYMPTOM,46
952,and,I-SIGN_AND_SYMPTOM,46
953,an,I-SIGN_AND_SYMPTOM,46
954,increase,I-SIGN_AND_SYMPTOM,46
955,temporary,I-SIGN_AND_SYMPTOM,46
956,eye,I-SIGN_AND_SYMPTOM,46
957,pressure,I-SIGN_AND_SYMPTOM,46
958,There,O,47
959,is,O,47
960,a,O,47
961,small,O,47
962,risk,O,47
963,of,O,47
964,needing,O,47
965,further,O,47
966,surgical,B-TREATMENT,47
967,treatment,I-TREATMENT,47
968,such,O,47
969,as,O,47
970,IOL,B-TREATMENT,47
971,replacement,I-TREATMENT,47
972,implanted,O,47
973,by,O,47
974,a,O,47
975,different,O,47
976,one,O,47
977,or,O,47
978,surgery,O,47
979,to,O,47
980,improve,O,47
981,vision,O,47
982,after,O,47
983,the,O,47
984,implantation,O,47
985,of,O,47
986,the,O,47
987,initial,O,47
988,IOL,B-TREATMENT,47
989,Johnson,B-ORGANIZATION,48
990,Johnson,I-ORGANIZATION,48
991,Vision,I-ORGANIZATION,48
992,Announces,O,48
993,Launch,O,48
994,of,O,48
995,TECNIS,B-TREATMENT,48
996,Eyhance™,I-TREATMENT,48
997,Toric,I-TREATMENT,48
998,II,I-TREATMENT,48
999,IOL,B-TREATMENT,48
1000,with,O,48
1001,TECNIS,O,48
1002,Simplicity™,O,48
1003,Delivery,O,48
1004,System,O,48
1005,a,O,48
1006,Next-Generation,O,48
1007,Monofocal,B-TREATMENT,48
1008,Intraocular,I-TREATMENT,48
1009,Lens,I-TREATMENT,48
1010,for,O,48
1011,Cataracts,B-NAME_OF_DISEASE,48
1012,Patients,O,48
1013,with,O,48
1014,Astigmatism,B-NAME_OF_DISEASE,48
1015,in,O,48
1016,Europe,B-GPE,48
1017,TECNIS,B-TREATMENT,48
1018,Eyhance™,I-TREATMENT,48
1019,Toric,I-TREATMENT,48
1020,II,I-TREATMENT,48
1021,IOL,B-TREATMENT,48
1022,offers,O,48
1023,all,O,48
1024,the,O,48
1025,benefits,O,48
1026,associated,O,48
1027,with,O,48
1028,the,B-TREATMENT,48
1029,TECNIS,I-TREATMENT,48
1030,Eyhance™,I-TREATMENT,48
1031,IOL,B-TREATMENT,48
1032,such,O,48
1033,as,O,48
1034,high-quality,O,48
1035,intermediate,O,48
1036,and,O,48
1037,20,O,48
1038,20,O,48
1039,distance,O,48
1040,vision,O,48
1041,whilst,O,48
1042,correcting,O,48
1043,patients,O,48
1044,astigmatism,B-NAME_OF_DISEASE,48
1045,Johnson,B-ORGANIZATION,48
1046,Johnson,I-ORGANIZATION,48
1047,Vision,I-ORGANIZATION,48
1048,a,O,48
1049,global,O,48
1050,leader,O,48
1051,in,O,48
1052,eye,O,48
1053,health,O,48
1054,and,O,48
1055,part,O,48
1056,of,O,48
1057,the,B-ORGANIZATION,48
1058,Johnson,I-ORGANIZATION,48
1059,Johnson,I-ORGANIZATION,48
1060,Medical,I-ORGANIZATION,48
1061,Devices,I-ORGANIZATION,48
1062,Companies,I-ORGANIZATION,48
1063,have,O,48
1064,announced,O,48
1065,the,O,48
1066,launch,O,48
1067,and,O,48
1068,availability,O,48
1069,of,O,48
1070,its,O,48
1071,TECNIS,B-TREATMENT,48
1072,Eyhance™,I-TREATMENT,48
1073,Toric,I-TREATMENT,48
1074,II,I-TREATMENT,48
1075,intraocular,I-TREATMENT,48
1076,lens,I-TREATMENT,48
1077,IOL,B-TREATMENT,48
1078,with,O,48
1079,TECNIS,O,48
1080,Simplicity™,O,48
1081,Delivery,O,48
1082,System,O,48
1083,for,O,48
1084,the,O,48
1085,treatment,O,48
1086,of,O,48
1087,cataracts,B-NAME_OF_DISEASE,48
1088,patients,O,48
1089,with,O,48
1090,astigmatism,B-NAME_OF_DISEASE,48
1091,in,O,48
1092,Europe,B-GPE,48
1093,This,O,49
1094,monofocal,B-TREATMENT,49
1095,lens,I-TREATMENT,49
1096,allows,O,49
1097,for,O,49
1098,high-quality,O,49
1099,vision,O,49
1100,at,O,49
1101,both,O,49
1102,intermediate,O,49
1103,and,O,49
1104,far,O,49
1105,distances,O,49
1106,and,O,49
1107,is,O,49
1108,specifically,O,49
1109,engineered,O,49
1110,for,O,49
1111,rotational,O,49
1112,stability,O,49
1113,The,B-TREATMENT,50
1114,TECNIS,I-TREATMENT,50
1115,Eyhance™,I-TREATMENT,50
1116,Toric,I-TREATMENT,50
1117,II,I-TREATMENT,50
1118,IOL,B-TREATMENT,50
1119,is,O,50
1120,the,O,50
1121,latest,O,50
1122,innovation,O,50
1123,in,O,50
1124,the,O,50
1125,industry-leading,O,50
1126,TECNIS®,B-TREATMENT,50
1127,Family,I-TREATMENT,50
1128,of,I-TREATMENT,50
1129,IOLs,I-TREATMENT,50
1130,It,O,51
1131,allows,O,51
1132,patients,O,51
1133,to,O,51
1134,achieve,O,51
1135,significantly,O,51
